X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,DIRECCION,GRAVEDAD,CLASE_ACC,LOCALIDAD,FECHA_HORA_ACC,LATITUD,LONGITUD,CIV,PK_CALZADA
-74.090923953,4.69380685384595,1,A000640275,4484660,2017/06/12 00:00:00+00,2017,AV AVENIDA BOYACA-CL 79 02,SOLO DANOS,CHOQUE,ENGATIVA,2017/06/12 05:30:00+00,4.69380685,-74.09092395,10006772,221236
-74.121,4.60299999984892,2,A001233353,10533499,2020/11/19 00:00:00+00,2020,CL 26 S- KR 50 02,CON HERIDOS,OTRO,PUENTE ARANDA,2020/11/19 02:05:00+00,4.603,-74.121,16004560,
-74.042,4.68199999984635,4,A001232786,10533629,2020/11/10 00:00:00+00,2020,KR 9 - CL 100 02,SOLO DANOS,CHOQUE,USAQUEN,2020/11/10 13:30:00+00,4.682,-74.042,30001107,
-74.1669374849999,4.5871866868494,7,A000200705,4412699,2015/05/11 00:00:00+00,2015,CL 63A-KR 72 S 02,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR,2015/05/11 10:50:00+00,4.58718669,-74.16693749,19001483,136166
-74.0929008909999,4.60764758184872,8,A000402862,4447845,2016/06/08 00:00:00+00,2016,KR 27-CL 9 14,SOLO DANOS,CHOQUE,LOS MARTIRES,2016/06/08 21:30:00+00,4.60764758,-74.09290089,14000548,239719
-74.042,4.77799999984318,9,A001179874,10533587,2020/08/03 00:00:00+00,2020,AU NORTE - CL 200 02,CON MUERTOS,ATROPELLO,SUBA,2020/08/03 14:05:00+00,4.778,-74.042,1006455,
-74.0558532749999,4.72462598284496,10,A000240105,4424883,2015/09/26 00:00:00+00,2015,KR 52A-CL 137A 35,SOLO DANOS,CHOQUE,SUBA,2015/09/26 18:00:00+00,4.72462598,-74.05585328,11008301,31431
-74.039,4.79599999984262,12,A001233064,10533503,2020/11/23 00:00:00+00,2020,AU NORTE - CL 220 02,SOLO DANOS,OTRO,USAQUEN,2020/11/23 11:50:00+00,4.796,-74.039,,
-74.1105849699999,4.69357845984593,13,A000551010,4468708,2016/12/27 00:00:00+00,2016,CL 69A-KR 89A 02,CON HERIDOS,CHOQUE,ENGATIVA,2016/12/27 19:00:00+00,4.69357846,-74.11058497,10006813,219627
-74.1357656439999,4.65932955384708,15,A000686495,4495519,2017/10/02 00:00:00+00,2017,AV AVENIDA CIUDAD DE CALI-KR 17 2,CON HERIDOS,CHOQUE,FONTIBON,2017/10/02 09:20:00+00,4.65932955,-74.13576564,50008531,272348
-74.051613489,4.70653939284555,17,A22245,4467629,2016/12/16 00:00:00+00,2016,KR 21-CL 127 03,SOLO DANOS,CHOQUE,USAQUEN,2016/12/16 15:00:00+00,4.70653939,-74.05161349,1004358,202250
-74.1129999999999,4.50799999985198,18,A001180302,10533662,2020/09/14 00:00:00+00,2020,KR 12 - CL 81 S 52,CON MUERTOS,ATROPELLO,USME,2020/09/14 21:30:00+00,4.508,-74.113,5003431,
-74.091746078,4.64165432684762,20,A000641417,4493355,2017/09/12 00:00:00+00,2017,KR 50-CL 26 02,SOLO DANOS,CHOQUE,TEUSAQUILLO,2017/09/12 07:53:00+00,4.64165433,-74.09174608,13001016,194626
-74.0769999999999,4.65999999984702,23,A001180467,10533606,2020/08/22 00:00:00+00,2020,KR 30 - CL 64 48,CON MUERTOS,ATROPELLO,BARRIOS UNIDOS,2020/08/22 19:45:00+00,4.66,-74.077,12002271,
-74.1408926,4.52632143085138,25,A000815605,10448175,2018/05/19 00:00:00+00,2018,KR 18-CL 2 02,CON MUERTOS,VOLCAMIENTO,CIUDAD BOLIVAR,2018/05/19 20:00:00+00,4.52632143,-74.1408926,50000366,
-74.128700363,4.65483948484718,28,A000473024,4459693,2016/10/04 00:00:00+00,2016,KR 77-CL 19 02,SOLO DANOS,CHOQUE,FONTIBON,2016/10/04 12:15:00+00,4.65483949,-74.12870036,0,
-74.1129999999999,4.57399999984986,29,A001236422,10530927,2020/12/24 00:00:00+00,2020,TV 13 BIS A - CL 32 S 02,CON HERIDOS,ATROPELLO,RAFAEL URIBE URIBE,2020/12/24 08:55:00+00,4.574,-74.113,18002038,
-74.107,4.5789999998497,30,A001130325,10536544,2020/01/13 00:00:00+00,2020,AV AVENIDA CARACAS - CL 27 S 02,CON HERIDOS,ATROPELLO,RAFAEL URIBE URIBE,2020/01/13 09:40:00+00,4.579,-74.107,18001196,
-74.0588133919999,4.65714915384711,31,A000403683,4448989,2016/06/20 00:00:00+00,2016,KR 11-CL 72 02,SOLO DANOS,CHOQUE,CHAPINERO,2016/06/20 11:50:00+00,4.65714915,-74.05881339,2001059,38023
-74.140634118,4.68186144684635,35,A000816158,10448832,2018/05/23 00:00:00+00,2018,CL 23-KR 104A 2,SOLO DANOS,CHOQUE,FONTIBON,2018/05/23 06:50:00+00,4.68186145,-74.14063412,9001330,214724
-74.158,4.61599999984846,36,A001235699,10533544,2020/12/22 00:00:00+00,2020,TV 78 H - CL 41 S 48,CON MUERTOS,CHOQUE,KENNEDY,2020/12/22 15:30:00+00,4.616,-74.158,8012380,
-74.1729999999999,4.60399999984886,38,A001175820,10533489,2020/05/28 00:00:00+00,2020,KR 78 - CL 57 S 12,CON MUERTOS,ATROPELLO,KENNEDY,2020/05/28 12:45:00+00,4.604,-74.173,30000651,
-74.163,4.62299999984824,39,A001233294,10533579,2020/12/10 00:00:00+00,2020,AK 80 - CL 42 S 74,SOLO DANOS,CHOQUE,KENNEDY,2020/12/10 11:45:00+00,4.623,-74.163,8006166,
-74.146,4.56599999985008,43,A001183932,10533860,2020/10/18 00:00:00+00,2020,CL 64 S- KR 21 02,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR,2020/10/18 22:39:00+00,4.566,-74.146,19005834,
-74.14,4.6949999998459,45,A001185526,10533669,2020/11/10 00:00:00+00,2020,CL 26 - KR 112 02,SOLO DANOS,CHOQUE,FONTIBON,2020/11/10 19:00:00+00,4.695,-74.14,9004111,
-74.1059999999999,4.5899999998493,48,A001235038,10533893,2020/12/06 00:00:00+00,2020,KR 25 - CL 17 S 68,CON HERIDOS,CHOQUE,ANTONIO NARINO,2020/12/06 12:40:00+00,4.59,-74.106,15000553,
-74.156990493,4.63591310884783,49,A000342349,4439456,2016/03/14 00:00:00+00,2016,KR 81C-CL 5A S 02,SOLO DANOS,CHOQUE,KENNEDY,2016/03/14 06:30:00+00,4.63591311,-74.15699049,8003341,226620
-74.0889999999999,4.58599999984947,51,A001234913,10533127,2020/12/05 00:00:00+00,2020,CL 5 S- KR 11 24,CON HERIDOS,CHOQUE,ANTONIO NARINO,2020/12/05 08:56:00+00,4.586,-74.089,15001518,
-74.1573358369999,4.58044063884966,54,A000278665,4431456,2015/12/08 00:00:00+00,2015,KR 51-CL 68 S 02,CON HERIDOS,ATROPELLO,CIUDAD BOLIVAR,2015/12/08 07:30:00+00,4.58044064,-74.15733584,19002092,235169
-74.101679169,4.67051044684668,57,A000553330,4470250,2017/01/18 00:00:00+00,2017,AV AVENIDA DE LA CONSTITUCION-CL 60 02,SOLO DANOS,CHOQUE,ENGATIVA,2017/01/18 08:00:00+00,4.67051045,-74.10167917,10009609,42059
-74.188613346,4.60172479084893,58,A7888,4415867,2015/06/17 00:00:00+00,2015,KR 78C-CL 68A S 02,SOLO DANOS,CHOQUE,BOSA,2015/06/17 23:30:00+00,4.60172479,-74.18861335,7006960,63059
-74.05637597,4.68959145184609,64,A8472,4416604,2015/06/25 00:00:00+00,2015,AK 45-CL 103 02,SOLO DANOS,CHOQUE,USAQUEN,2015/06/25 08:40:00+00,4.68959145,-74.05637597,1005501,51969
-74.143482331,4.63075826284802,65,A000690990,4499886,2017/11/17 00:00:00+00,2017,AV AVENIDA DE LAS AMERICAS-KR 74B 80,SOLO DANOS,CHOQUE,KENNEDY,2017/11/17 14:48:00+00,4.63075826,-74.14348233,50006510,50013118
-74.1229999999999,4.59399999984919,66,A001235597,10533895,2020/12/13 00:00:00+00,2020,AU SUR - CL 38 S 02,CON HERIDOS,CHOQUE,PUENTE ARANDA,2020/12/13 14:45:00+00,4.594,-74.123,16004529,
-74.097,4.56199999985025,69,A001236169,10530921,2020/12/24 00:00:00+00,2020,KR 3 B - CL 32 S 02,CON HERIDOS,CHOQUE,SAN CRISTOBAL,2020/12/24 09:30:00+00,4.562,-74.097,30001374,
-74.131127443,4.69992852784574,70,A7078,4414948,2015/06/07 00:00:00+00,2015,AC 63-KR 110 02,CON HERIDOS,CHOQUE,ENGATIVA,2015/06/07 02:20:00+00,4.69992853,-74.13112744,10005606,220140
-74.086,4.56899999985003,71,A001232704,10533674,2020/11/10 00:00:00+00,2020,KR 3 E- CL 22 S 30,CON HERIDOS,CHOQUE,SAN CRISTOBAL,2020/11/10 07:00:00+00,4.569,-74.086,4000913,
